,Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
5119,26,Q177,Q177 SPED - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,9/5/17,10/5/17,10/24/17,100000,100000,99247,DSF: 0000845185
5120,26,Q177,Q177 SPED - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/11/17,DOES,,DOES,170000,1527,DSF: 0000866042
5121,26,Q178,P.S./ IS 178 HOLLISWOOD,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,10/4/17,11/3/17,11/3/17,35000,34667,34667,DSF: 0000845149
5122,26,Q178,P.S./ IS 178 HOLLISWOOD,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,10/4/17,11/3/17,11/3/17,100000,99250,99250,DSF: 0000845147
5123,26,Q179,Q004 SPED - QUEENS,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/15/17,8/18/17,8/1/17,0,7645,7645,DSF: 0000845157
5124,26,Q179,Q004 SPED - QUEENS,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Design,Complete,8/30/17,1/2/18,11/22/17,37500,3985,3985,DSF: 0000845157
5125,26,Q179,Q004 SPED - QUEENS,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,550000,550000,0,DSF: 0000845157
5126,26,Q179,Q004 SPED - QUEENS,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,37500,37500,1820,DSF: 0000845157
5127,26,Q186,P.S. 186 - QUEENS,SCA IEH,IEH PO18-ROOM 114,Construction,Complete,8/9/17,IEH,8/19/17,IEH,9170,1614,DSF: 0000048025
5128,26,Q188,P.S. 188 - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Scope,Complete,1/15/16,5/17/16,3/28/16,0,10096,10096,DSF: 0000822872
5129,26,Q188,P.S. 188 - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Design,Complete,4/13/16,9/13/16,10/18/16,28498,46729,41730,DSF: 0000822872
5130,26,Q188,P.S. 188 - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,Complete,4/12/17,12/7/17,11/16/17,417971,398713,228404,DSF: 0000822872
5131,26,Q188,P.S. 188 - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",Complete,4/12/17,12/7/17,11/16/17,28498,45059,44024,DSF: 0000822872
5132,26,Q188,P.S. 188 - QUEENS,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYS,Purch & Install,Complete,7/1/17,10/27/17,10/27/17,DIIX,175097,175097,DSF: 0000867155
5133,26,Q191,P.S. 191 - QUEENS,DIIT - Project Conne,DATA/VOICE & WIRELESS NETWORK CABLE,Purch & Install,In-Progress,2/6/09,2/1/16,,DIIT,763829,763829,DSF: 0000800170
5134,26,Q191,Q993 SPED - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/14/17,1/15/18,10/20/17,35000,34738,34738,DSF: 0000844553
5135,26,Q191,P.S. 191 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,4/28/17,1/15/18,11/28/17,100000,99246,99246,DSF: 0000845159
5136,26,Q203,P.S. 203 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,4/18/17,1/15/18,9/1/17,108000,107186,107186,DSF: 0000845146
5137,26,Q205,P.S. 205 - QUEENS,SCA CIP,BOILER/CLIMATE CTRL/FLOOD/MASONRY/ ROOFS/PARAPETS,Scope,Complete,10/6/15,12/19/16,10/12/16,242316,198941,187995,"DSF: 0000789227, 0000798368, 0000836272, 0000836273, 0000836274, 0000836276"
5138,26,Q205,P.S. 205 - QUEENS,SCA CIP,BOILER/CLIMATE CTRL/FLOOD/MASONRY/ ROOFS/PARAPETS,Design,Complete,11/9/16,4/14/17,4/13/17,963320,511582,493033,"DSF: 0000789227, 0000798368, 0000836272, 0000836273, 0000836274, 0000836276"
5139,26,Q205,P.S. 205 - QUEENS,SCA CIP,BOILER/CLIMATE CTRL/FLOOD/MASONRY/ ROOFS/PARAPETS,Construction,In-Progress,7/12/17,4/2/19,,17528777,15736287,1223200,"DSF: 0000789227, 0000798368, 0000836272, 0000836273, 0000836274, 0000836276"
5140,21,K100,P.S. 100 - BROOKLYN,Fast Track Projects,BOND FAILURE BTWN PLASTER COATS,Construction,In-Progress,4/17/14,FTK,,FTK,417159,412856,DSF: 0000029893
5141,21,K100,P.S. 100 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,446510,0,DSF: 0000776729
5142,21,K100,P.S. 100 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,3/2/17,DOEL,8/4/17,DOEL,955,955,DSF:
5143,21,K101,P.S. 101 - BROOKLYN,SCA Capacity,ADDITION,Scope,Complete,5/21/15,11/19/15,11/19/15,1649975,1118524,1118524,DSF: 0000798192
5144,21,K101,P.S. 101 - BROOKLYN,SCA Capacity,ADDITION,Design,Complete,11/20/15,6/9/16,7/12/16,5279920,4057200,2247966,DSF: 0000798192
5145,21,K101,P.S. 101 - BROOKLYN,SCA Capacity,ADDITION,Construction,In-Progress,12/5/16,8/15/20,,74050878,67584185,18815635,DSF: 0000798192
5146,21,K101,P.S. 101 - BROOKLYN,SCA Capacity,ADDITION,"CM,Art,F&E",In-Progress,12/5/16,8/15/20,,10427842,4537932,1244338,DSF: 0000798192
5147,21,K101,P.S. 101 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866698
5148,21,K101,P.S. 101 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,15000,15000,0,DSF: 0000866698
5149,21,K101,P.S. 101 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,220000,220000,0,DSF: 0000866698
5150,21,K101,P.S. 101 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,15000,15000,0,DSF: 0000866698
5151,21,K121,P.S. 121 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Scope,Complete,1/24/17,6/8/17,3/30/17,138122,28244,28244,"DSF: 0000847312, 0000847313, 0000866261"
5152,21,K121,P.S. 121 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Design,Complete,5/5/17,10/5/17,12/13/17,543297,139740,109704,"DSF: 0000847312, 0000847313, 0000866261"
5153,21,K121,P.S. 121 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Construction,PNS,PNS,PNS,PNS,9361869,9361869,7407,"DSF: 0000847312, 0000847313, 0000866261"
5154,21,K121,P.S. 121 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,764061,764061,9421,"DSF: 0000847312, 0000847313, 0000866261"
5155,21,K121,P.S. 121 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866387
5156,21,K121,P.S. 121 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,12000,12000,0,DSF: 0000866387
5157,21,K121,P.S. 121 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,176000,176000,0,DSF: 0000866387
5158,21,K121,P.S. 121 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,12000,12000,0,DSF: 0000866387
5159,21,K121,P.S. 121 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/22/17,1/15/18,7/21/17,50000,49608,49608,DSF: 0000845503
5160,21,K121,P.S. 121 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,3/1/17,DOEL,6/12/17,DOEL,431,431,DSF:
5161,21,K121,P.S. 121 - BROOKLYN,DOE- RESOA,FY15 RESO A ELECTRICAL SYSTEMS,Construction,In-Progress,6/26/15,DOER,,100000,97734,97734,DSF: 0000800448
5162,21,K128,P.S. 128 - BROOKLYN,SCA CIP,WINDOWS/EXT MASONRY,Scope,Complete,4/17/14,9/2/14,12/10/14,39325,20458,20458,"DSF: 0000822174, 0000822175"
5163,21,K128,P.S. 128 - BROOKLYN,SCA CIP,WINDOWS/EXT MASONRY,Design,Complete,6/17/15,11/18/15,1/6/16,150473,140072,116527,"DSF: 0000822174, 0000822175"
5164,21,K128,P.S. 128 - BROOKLYN,SCA CIP,WINDOWS/EXT MASONRY,Construction,In-Progress,5/12/17,11/5/18,,2208335,1974525,36711,"DSF: 0000822174, 0000822175"
5165,21,K128,P.S. 128 - BROOKLYN,SCA CIP,WINDOWS/EXT MASONRY,"CM, F&E",In-Progress,5/12/17,11/5/18,,272317,35341,35341,"DSF: 0000822174, 0000822175"
5166,21,K128,P.S. 128 - BROOKLYN,SCA IEH,"IEH PO18-RMS 109,208,305",Construction,In-Progress,8/31/17,IEH,,IEH,113151,10100,DSF: 0000048463
5167,21,K128,P.S. 128 - BROOKLYN,SCA IEH,IEH PO18-RM 113A,Construction,Complete,11/2/17,IEH,11/12/17,IEH,24099,6762,DSF: 0000049227
5168,21,K128,P.S. 128 BENSONHURST,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,Complete,7/27/17,8/18/17,10/12/17,100000,99250,99250,DSF: 0000823295
5169,21,K153,P.S. 153 - BROOKLYN,SCA IEH,IEH PO18-2ND & 3RD FL CORRIDORS,Construction,Complete,5/25/17,IEH,7/13/17,IEH,177939,3820,DSF: 0000046968
5170,21,K153,P.S. 153 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,3/2/17,DOEL,,DOEL,500,500,DSF:
5171,21,K177,P.S. 177 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866689
5172,21,K177,P.S. 177 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866689
5173,21,K177,P.S. 177 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,132000,132000,0,DSF: 0000866689
5174,21,K177,P.S. 177 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866689
5175,21,K177,P.S. 174 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/19/17,8/18/17,7/24/17,0,17469,17469,DSF: 0000800339
5176,21,K177,P.S. 174 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,5700,6224,6224,DSF: 0000800339
5177,21,K177,P.S. 174 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,83600,83600,0,DSF: 0000800339
5178,21,K177,P.S. 174 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,5700,5700,672,DSF: 0000800339
5179,21,K177,P.S. 177 - BROOKLYN,SCA IEH,"IEH PO18-RMS 409,359,455,556",Construction,In-Progress,9/20/17,IEH,,IEH,79782,13010,DSF: 0000048666
5180,21,K177,P.S. 177 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,2/10/16,DOEL,6/30/16,DOEL,31800,31800,DSF:
5181,21,K177,P.S. 177 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,3/2/17,DOEL,6/12/17,DOEL,461,461,DSF:
5182,21,K177,P.S. 177 - BROOKLYN,DOE- RESOA,FY15 RESO A LOW-VOLTAGE ELECTRICAL,Construction,PNS,PNS,PNS,PNS,75000,75000,0,DSF: 0000800347
5183,21,K188,P.S. 188 - BROOKLYN,SCA CIP,SANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA,Scope,Complete,2/6/14,7/9/14,4/17/14,217432,212064,212039,"DSF: 0000780542, 0000780543, 0000780545, 0000780550, 0000780560, 0000780563, 0000798612"
5184,21,K188,P.S. 188 - BROOKLYN,SCA CIP,SANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA,Design,Complete,4/18/14,10/21/14,8/26/14,862346,959315,875043,"DSF: 0000780542, 0000780543, 0000780545, 0000780550, 0000780560, 0000780563, 0000798612"
5185,21,K188,P.S. 188 - BROOKLYN,SCA CIP,SANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA,Construction,In-Progress,1/12/15,1/10/17,,15506166,15520361,13989256,"DSF: 0000780542, 0000780543, 0000780545, 0000780550, 0000780560, 0000780563, 0000798612"
5186,21,K188,P.S. 188 - BROOKLYN,SCA CIP,SANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA,"CM, F&E",In-Progress,1/12/15,1/10/17,,1110690,992209,982834,"DSF: 0000780542, 0000780543, 0000780545, 0000780550, 0000780560, 0000780563, 0000798612"
5187,21,K188,P.S. 188 - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,460000,460000,0,DSF: 0000844296
5188,21,K188,P.S. 188 - BROOKLYN,DOE- RESOA,FY15 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,5/25/17,DOER,,250000,250000,33255,DSF: 0000800577
5189,21,K199,P.S. 199 - BROOKLYN,SCA IEH,IEH PO18-AUDITORIUM B-AREA,Construction,Complete,4/24/17,IEH,8/5/17,IEH,30800,1806,DSF: 0000046383
5190,21,K199,P.S. 199 - BROOKLYN,SCA IEH,IEH PO18-ROOM 219,Construction,Complete,8/29/17,IEH,9/7/17,IEH,570,70,DSF: 0000048405
5191,21,K199,P.S. 199 - BROOKLYN,SCA IEH,IEH PO18-SLOP SINK RM 158,Construction,Complete,9/15/17,IEH,9/21/17,IEH,17123,3810,DSF: 0000048625
5192,21,K209,P.S. 206 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/20/17,8/21/17,7/24/17,0,11489,11489,DSF: 0000800378
5193,21,K209,P.S. 206 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,9000,4532,4532,DSF: 0000800378
5194,21,K209,P.S. 206 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,132000,132000,5470,DSF: 0000800378
5195,21,K209,P.S. 206 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,1938,DSF: 0000800378
5196,21,K209,P.S. 209 - BROOKLYN,SCA IEH,"IEH PO18-RM 161,262,263",Construction,Complete,10/10/17,IEH,11/25/17,IEH,44260,5996,DSF: 0000048936
5197,21,K209,P.S. 209 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,3/2/17,DOEL,7/25/17,DOEL,475,475,DSF:
5198,21,K209,P.S. 209 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,8/30/17,DOES,,DOES,170000,680,DSF: 0000865971
5199,21,K212,P.S. 212 - BROOKLYN,SCA CIP,EXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS/WIN,Scope,Complete,2/11/15,6/26/15,6/3/15,187905,87477,87477,"DSF: 0000804350, 0000804351, 0000804352, 0000822685"
5200,21,K212,P.S. 212 - BROOKLYN,SCA CIP,EXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS/WIN,Design,Complete,7/9/15,12/10/15,6/17/16,751619,150273,149773,"DSF: 0000804350, 0000804351, 0000804352, 0000822685"
5201,21,K212,P.S. 212 - BROOKLYN,SCA CIP,EXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS/WIN,Construction,In-Progress,8/11/17,5/2/19,,14092875,12853464,640387,"DSF: 0000804350, 0000804351, 0000804352, 0000822685"
5202,21,K212,P.S. 212 - BROOKLYN,SCA CIP,EXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS/WIN,"CM, F&E",In-Progress,8/11/17,5/2/19,,876890,49557,48627,"DSF: 0000804350, 0000804351, 0000804352, 0000822685"
5203,21,K212,P.S. 212 - BROOKLYN,SCA CIP,DEFECTIVE STAIR LANDING,Scope,Complete,8/11/16,8/12/16,8/12/16,9600,7175,7175,DSF: 0000826760
5204,21,K212,P.S. 212 - BROOKLYN,SCA CIP,DEFECTIVE STAIR LANDING,Design,Complete,8/12/16,1/27/17,5/15/17,35199,30231,29110,DSF: 0000826760
5205,21,K212,P.S. 212 - BROOKLYN,SCA CIP,DEFECTIVE STAIR LANDING,Construction,In-Progress,6/30/17,2/24/18,,372794,367493,190167,DSF: 0000826760
5206,21,K212,P.S. 212 - BROOKLYN,SCA CIP,DEFECTIVE STAIR LANDING,"CM, F&E",In-Progress,6/30/17,2/24/18,,86399,58414,50952,DSF: 0000826760
5207,21,K212,P.S. 212 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Scope,Complete,1/17/17,3/17/17,4/3/17,0,12897,12897,DSF: 0000844941
5208,21,K212,P.S. 212 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Design,Complete,4/17/17,8/30/17,9/18/17,26888,41396,40406,DSF: 0000844941
5209,21,K212,P.S. 212 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,394350,394350,19541,DSF: 0000844941
5210,21,K212,P.S. 212 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,26888,26888,4916,DSF: 0000844941
5211,21,K212,P.S. 212 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ACCESSIBILITY,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867216
5212,21,K212,P.S. 212 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ACCESSIBILITY,Design,PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867216
5213,21,K212,P.S. 212 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ACCESSIBILITY,Construction,PNS,PNS,PNS,PNS,440000,440000,0,DSF: 0000867216
5214,21,K212,P.S. 212 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ACCESSIBILITY,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867216
5215,21,K215,P.S. 215 - BROOKLYN,SCA CIP,EXT. MASONRY/PARAPETS/FLOOD ELIMINATION,Scope,In-Progress,12/18/17,5/4/18,,91466,91466,0,"DSF: 0000871430, 0000871433, 0000871434"
5216,21,K215,P.S. 215 - BROOKLYN,SCA CIP,EXT. MASONRY/PARAPETS/FLOOD ELIMINATION,Design,PNS,PNS,PNS,PNS,358250,358250,0,"DSF: 0000871430, 0000871433, 0000871434"
5217,21,K215,P.S. 215 - BROOKLYN,SCA CIP,EXT. MASONRY/PARAPETS/FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,6033769,6033769,0,"DSF: 0000871430, 0000871433, 0000871434"
5218,21,K215,P.S. 215 - BROOKLYN,SCA CIP,EXT. MASONRY/PARAPETS/FLOOD ELIMINATION,"CM, F&E",PNS,PNS,PNS,PNS,525833,525833,0,"DSF: 0000871430, 0000871433, 0000871434"
5219,21,K215,P.S. 213 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/13/17,8/14/17,7/24/17,0,12967,1293,DSF: 0000800341
5220,21,K215,P.S. 213 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,6000,5174,5174,DSF: 0000800341
5221,21,K215,P.S. 213 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,88000,88000,0,DSF: 0000800341
5222,21,K215,P.S. 213 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,6000,6000,1663,DSF: 0000800341
5223,21,K215,P.S. 215 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,251712,0,DSF: 0000776823
5224,21,K215,K231 SPED - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/19/17,7/19/17,10/12/17,50000,49625,49625,DSF: 0000845400
5225,21,K216,P.S. 214 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/19/17,8/18/17,7/24/17,0,13161,1663,DSF: 0000800342
5226,21,K216,P.S. 214 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Design,In-Progress,10/18/17,2/22/18,,64500,51339,6656,DSF: 0000800342
5227,21,K216,P.S. 214 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,946000,946000,2136,DSF: 0000800342
5228,21,K216,P.S. 214 - BROOKLYN,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,64500,64500,4243,DSF: 0000800342
5229,21,K216,P.S. 216 - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,100000,100000,0,DSF: 0000844344
5230,21,K216,P.S. 216 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,4/25/17,1/15/18,8/3/17,50000,49625,49625,DSF: 0000845411
5231,21,K216,P.S. 216 - BROOKLYN,DOE- RESOA,FY12 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,100000,100000,0,DSF: 0000731574
5232,21,K216,P.S. 216 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,8/30/17,DOES,,DOES,170000,631,DSF: 0000865973
5233,21,K225,P.S. 225 - BROOKLYN,SCA CIP,FLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,Scope,Complete,6/28/12,11/14/12,2/21/13,130154,118740,118740,"DSF: 0000735855, 0000758754, 0000758755, 0000775945"
5234,21,K225,P.S. 225 - BROOKLYN,SCA CIP,FLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,Design,Complete,2/21/13,7/23/13,5/16/14,520619,543405,489332,"DSF: 0000735855, 0000758754, 0000758755, 0000775945"
5235,21,K225,P.S. 225 - BROOKLYN,SCA CIP,FLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,Construction,In-Progress,7/25/16,1/15/18,,9761625,9328837,7918462,"DSF: 0000735855, 0000758754, 0000758755, 0000775945"
5236,21,K225,P.S. 225 - BROOKLYN,SCA CIP,FLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,"CM, F&E",In-Progress,7/25/16,1/15/18,,607390,590479,584402,"DSF: 0000735855, 0000758754, 0000758755, 0000775945"
5237,21,K225,P.S. 225 - BROOKLYN,SCA IEH,"IEH PO18-CLASSROOMS 161,305,313,320",Construction,Complete,5/15/17,IEH,8/5/17,IEH,91875,4714,DSF: 0000046750
5238,21,K225,K771 SPED - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/11/17,1/15/18,8/11/17,125000,124062,124062,DSF: 0000845099
5239,21,K225,K771 SPED - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/11/17,1/15/18,8/11/17,50000,49625,49625,DSF: 0000845401
5240,21,K225,P.S. 225 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,2/11/16,DOEL,2/12/16,DOEL,1337,1337,DSF:
5241,21,K225,P.S. 225 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,3/2/17,DOEL,8/9/17,DOEL,671,671,DSF:
5242,21,K225,P.S. 225 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,8/30/17,DOES,,DOES,170000,688,DSF: 0000865976
5243,21,K226,P.S. 226 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866708
5244,21,K226,P.S. 226 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,24000,24000,0,DSF: 0000866708
5245,21,K226,P.S. 226 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,352000,352000,0,DSF: 0000866708
5246,21,K226,P.S. 226 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,24000,24000,0,DSF: 0000866708
5247,21,K226,P.S. 226 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,8/3/17,10/3/17,10/6/17,50000,49552,49552,DSF: 0000845507
5248,21,K228,I.S. 228 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867304
5249,21,K228,I.S. 228 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,3000,3000,0,DSF: 0000867304
5250,21,K228,I.S. 228 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,44000,44000,0,DSF: 0000867304
5251,21,K228,I.S. 228 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,3000,3000,0,DSF: 0000867304
5252,21,K228,I.S. 228 - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,470000,470000,0,DSF: 0000844271
5253,21,K228,I.S. 228 - BROOKLYN,DOE- RESOA,FY17 RESO A BATHROOM UPGRADE,Construction,In-Progress,8/5/16,DOER,,435000,435000,398785,DSF: 0000844692
